transect_id,region,latitude,longitude,slope,storm_count,storm_energy,depth_of_closure,geomorphology,longshore_direction,true_probability,label
TRX-0001,Tyrrhenian Bay (Campania),40.7075,14.19251,3.41,24,61.0,14.13,gravel,transitional,0.3261,0
TRX-0002,Ionian Barrier Spit,39.50161,16.35796,3.13,21,300.5,9.95,gravel,convergent,0.6295,1
TRX-0003,Adriatic Central Coast (Abruzzo),42.42764,14.2979,5.74,9,82.2,16.94,sandy,convergent,0.2648,0
TRX-0004,North Sea Barrier Island,53.59214,7.26892,7.07,13,51.5,8.31,dune,divergent,0.5376,1
TRX-0005,Outer Banks Transect,35.82321,-75.53863,1.34,8,329.2,17.31,riverbank,divergent,0.3287,0
TRX-0006,Outer Banks Transect,35.6988,-75.64342,8.64,23,394.7,12.92,dune,convergent,0.9701,1
TRX-0007,Ionian Barrier Spit,39.39902,16.46384,12.38,21,295.3,7.35,sandy,divergent,0.9864,1
TRX-0008,Outer Banks Transect,35.77035,-75.73014,11.48,19,370.5,8.59,dune,transitional,0.9886,1
TRX-0009,Gold Coast Spit,-28.05714,153.31189,9.52,18,125.1,12.1,riverbank,transitional,0.6352,1
TRX-0010,Gold Coast Spit,-28.07273,153.28413,2.08,21,84.0,13.35,dune,transitional,0.6288,1
TRX-0011,Gold Coast Spit,-27.94127,153.56132,10.87,1,292.1,5.99,riverbank,divergent,0.8728,1
TRX-0012,North Sea Barrier Island,53.48043,7.18612,11.96,24,125.4,11.01,sandy,divergent,0.7322,1
TRX-0013,North Sea Barrier Island,53.6025,7.2023,3.13,12,325.0,11.51,dune,transitional,0.6833,1
TRX-0014,Adriatic Central Coast (Abruzzo),42.23356,14.35889,12.33,26,143.0,5.25,riverbank,divergent,0.8856,1
TRX-0015,Tyrrhenian Bay (Campania),40.91957,14.35481,12.24,18,326.3,6.17,gravel,transitional,0.9701,1
TRX-0016,California Central Coast,37.08931,-121.92133,9.64,23,100.5,8.55,defence structure,transitional,0.7452,1
TRX-0017,Gold Coast Spit,-27.83012,153.40545,3.7,3,155.2,12.15,sandy,convergent,0.2726,0
TRX-0018,Ionian Barrier Spit,39.37022,16.35942,4.67,17,115.2,13.2,sandy,convergent,0.3918,0
TRX-0019,Gold Coast Spit,-28.0271,153.41189,5.56,4,58.8,10.1,gravel,transitional,0.1461,0
TRX-0020,Tyrrhenian Bay (Campania),40.71818,14.32846,10.17,4,119.5,6.97,gravel,transitional,0.2668,0
TRX-0021,North Sea Barrier Island,53.48879,7.31235,1.68,26,364.5,11.65,sandy,divergent,0.8855,1
TRX-0022,Ionian Barrier Spit,39.39989,16.49569,3.3,13,381.0,6.64,sandy,transitional,0.6051,1
TRX-0023,Gold Coast Spit,-28.01443,153.47898,9.35,26,242.3,13.84,sandy,convergent,0.8946,1
TRX-0024,Adriatic Central Coast (Abruzzo),42.42439,14.26715,7.63,17,387.8,11.4,sandy,transitional,0.9213,1
TRX-0025,Ligurian Littoral,44.17056,9.07039,10.88,13,68.0,16.07,sandy,transitional,0.3194,0
